181
iD_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO|ID_DIST_LOC|ID_ESTRATO_F|ESTRATO_F|ID_ESTRATO_L|ESTRATO_L|ID_AREA_RESPONSABILIDAD|PAN|PRI|PRD|PVEM|PT|MC|PANAL|MORENA|PES|PAN_PRD_MC|PAN_PRD|PAN_MC|PRD_MC|PRI_PVEM_PANAL|PRI_PVEM|PRI_PANAL|PVEM_PANAL|PT_MORENA_PES|PT_MORENA|PT_PES|MORENA_PES|CNR|NULOS|TOTAL|RAC|JAMK|AMLO|JHRC|ANIO|MES|DIA|HORA|MINUTOS|SEGUNDOS|ORIGEN_CAPTURA|MODIFICADO
10|4|215|B|1|0|1|625|5|5|85|Estrato 85|0||65|214|54|1|0|16|5|1|97|5|1|0|0|0|1|0|0|0|6|1|0|1|0|4|441|221|56|126|34|2018|7|1|19|7|44|1|N
10|4|219|C|2|0|1|564|5|3|85|Estrato 85|0||39|60|30|1|1|36|4|0|104|7|3|2|2|0|0|0|0|0|4|2|0|1|0|5|299|72|31|154|37|2018|7|1|18|55|19|1|N
10|4|252|C|1|0|1|592|5|3|85|Estrato 85|0||51|53|39|2|4|24|15|1|83|4|3|0|0|0|0|0|0|0|9|4|1|0|0|6|287|73|44|125|39|2018|7|1|19|1|7|1|N
10|4|385|C|3|0|2|657|5|3|85|Estrato 85|0||135|45|57|0|2|37|8|1|75|4|1|2|0|0|0|0|0|0|7|7|0|1|2|6|267|56|60|131|12|2018|7|1|18|54|15|1|N
10|4|1399|C|1|0|1|434|5|2|85|Estrato 85|0||6|54|33|1|3|22|2|0|79|3|1|0|1|0|1|0|0|0|2|0|0|0|0|4|238|59|37|106|32|2018|7|1|19|1|37|1|N
11|1|2546|B|1|0|1|560|33|2|87|Estrato 87|2|Estrato 2|85|90|50|2|9|11|2|2|100|7|2|0|1|0|1|0|0|0|7|3|0|0|0|9|337|97|62|128|41|2018|7|1|19|17|13|1|N
11|2|153|B|1|0|1|521|3|9|94|Estrato 94|9|Estrato 9|9|97|23|2|3|13|3|0|114|3|3|1|0|0|5|1|0|0|3|0|0|0|2|3|319|106|32|133|43|2018|7|1|19|7|42|1|N
11|2|175|S|1|0|2|0|3|9|94|Estrato 94|9|Estrato 9|18|334|71|4|5|25|4|0|236|3|8|0|0|0|5|0|0|0|10|0|0|0|0|10|755|350|81|274|40|2018|7|1|19|13|54|1|N
11|5|3023|C|1|0|1|508|20|5|90|Estrato 90|5|Estrato 5|119|88|35|4|7|10|3|2|43|2|1|1|1|0|0|2|0|0|4|0|0|0|0|9|231|98|46|59|19|2018|7|1|19|20|58|1|N
11|8|2227|C|1|0|3|532|27|14|99|Estrato 99|14|Estrato 14|61|80|18|12|4|17|3|0|99|0|1|0|0|0|0|0|0|0|5|0|0|0|0|12|279|96|22|121|28|2018|7|1|19|12|54|1|N
11|8|2927|C|1|0|2|671|44|17|102|Estrato 102|17|Estrato 17|7|119|18|5|5|18|2|67|99|15|3|0|1|0|0|0|3|1|6|2|0|3|0|17|410|130|94|143|26|2018|7|1|19|18|28|1|N
11|11|1625|B|1|0|1|524|20|6|91|Estrato 91|6|Estrato 6|97|79|42|2|5|7|3|0|49|1|0|0|0|0|0|2|0|0|0|0|0|0|0|10|215|84|49|57|15|2018|7|1|19|17|1|1|N
11|12|354|B|1|0|1|392|7|16|101|Estrato 101|16|Estrato 16|25|37|21|4|3|8|1|1|83|5|0|0|0|0|1|0|0|0|5|1|0|1|0|5|195|42|26|103|19|2018|7|1|19|12|24|1|N
11|13|49|B|1|0|3|602|1|18|103|Estrato 103|18|Estrato 18|29|54|30|3|5|29|2|3|158|4|0|1|0|0|0|1|0|0|4|4|0|1|0|8|327|60|39|200|20|2018|7|1|19|20|33|1|N
11|15|1174|C|2|0|3|647|17|11|96|Estrato 96|11|Estrato 11|104|92|49|5|4|18|2|2|75|1|9|1|0|0|1|1|0|0|10|2|1|4|0|9|307|109|57|111|21|2018|7|1|19|18|46|1|N
12|1|1061|B|1|0|3|212|26|20|108|Estrato 108|0||75|9|46|1|0|1|13|2|103|1|1|0|0|0|0|0|0|0|2|0|0|0|1|2|184|24|48|107|2|2018|7|1|19|16|55|1|N
12|1|2130|E|1|0|3|131|55|17|108|Estrato 108|0||140|2|2|1|0|0|0|0|83|6|0|0|0|0|0|0|0|0|1|1|0|2|0|3|101|3|2|93|0|2018|7|1|18|48|50|1|N
12|2|1541|C|1|0|1|498|36|22|109|Estrato 109|0||84|30|25|4|0|19|2|1|185|8|0|0|0|0|1|0|0|0|8|4|0|1|1|3|302|36|27|225|10|2018|7|1|19|23|43|1|N
12|2|2166|C|1|0|3|467|56|21|109|Estrato 109|0||94|8|35|7|3|24|4|2|127|3|0|0|0|0|0|1|0|0|5|2|0|0|0|12|240|19|41|161|7|2018|7|1|19|19|37|1|N
12|2|2214|B|1|0|3|119|56|21|109|Estrato 109|0||118|4|30|2|3|3|2|1|18|0|0|1|1|0|0|3|0|0|0|1|0|0|0|4|74|10|37|22|1|2018|7|1|19|17|38|1|N
12|4|345|E|1|0|3|235|1|5|111|Estrato 111|0||129|3|10|34|0|14|1|4|57|6|0|1|0|0|0|1|0|0|4|3|1|4|0|3|146|39|15|89|0|2018|7|1|19|21|47|1|N
12|7|1382|B|1|0|2|533|33|19|114|Estrato 114|0||100|17|68|4|2|10|3|1|101|3|2|1|1|0|3|6|0|0|7|2|0|1|0|10|247|28|80|124|5|2018|7|1|19|8|35|1|N
13|2|1684|C|1|0|3|427|84|1|118|Estrato 118|0||148|41|23|4|1|25|1|1|140|4|1|0|0|0|0|0|0|0|2|1|0|1|0|7|257|47|25|173|5|2018|7|1|19|13|9|1|N
13|3|347|B|1|0|3|108|20|2|119|Estrato 119|0||46|0|24|1|15|3|2|1|24|2|0|0|0|0|0|0|1|0|0|1|0|1|0|1|78|3|41|31|2|2018|7|1|19|12|7|1|N
13|6|908|C|1|0|1|381|47|12|122|Estrato 122|0||44|70|64|2|1|10|3|1|101|1|4|1|0|0|2|1|1|0|4|1|1|0|2|9|302|80|70|118|23|2018|7|1|18|56|41|1|N
13|6|947|B|1|0|1|392|47|13|122|Estrato 122|0||78|34|41|3|2|5|3|1|153|0|1|0|0|0|1|1|0|0|6|3|2|0|1|5|288|41|46|169|26|2018|7|1|19|21|55|1|N
